trait_name,trait_value,Species Count
plant_tolerance_water_logged_soils,1-6_months (2); less_than_1_month (2),18
seedbank_longevity,2-- (g),17
flower_colour,green (1); white_cream (1),17
plant_growth_form,tree (6),17
nitrogen_fixing,nitrogen_fixer (3),17
plant_growth_form,shrub (8),17
dispersers,mammals (V),17
reproductive_maturity,3 (V),17
plant_height,0.7 (V),17
seedbank_location,canopy_seedbank (g),17
plant_tolerance_snow,days (g),17
life_history,annual (7),17
fruiting_time,yyyyyyyyyyyy (1),17
plant_tolerance_inundation,less_than_1_month (g),17
fire_time_from_fire_to_fruiting,10 (1),17
plant_height,30 (V),17
bud_bank_location,none (2),17
lifespan,>500 (V),17
plant_tolerance_water_logged_soils,less_than_1_month (g),17
sex_type,dioecious (2),17
flowering_time,yynnnnnnyyyy (2),16
root_structure,arbuscular_mycorrhizal (3),16
stem_growth_habit,decumbent (1); erect (1),16
plant_tolerance_snow,days (V),16
stem_growth_habit,caespitose (V),16
sex_type,monoecious (2),16
stem_growth_habit,rosette (1),16
parasitic,not_parasitic (4),16
plant_climbing_mechanism,twining (1),16
seedbank_longevity_class,persistent (4),16
seedbank_longevity_class,long_persistent (1); transient (1),16
plant_growth_form,shrub (9),16
seed_germination,1 (1),16
plant_tolerance_snow,days (3),16
plant_tolerance_salt,glycophyte (3),16
plant_tolerance_inundation,1-6_months (1); greater_than_6_months (1); less_than_1_month (1),16
fire_time_from_fire_to_fruiting,11.8604651162791 (1),16
fire_time_from_fire_to_fruiting,8.83720930232558 (1),16
plant_tolerance_snow,days (2); weeks (2),16
dispersal_syndrome,anemochory (g),16
fire_time_from_fire_to_fruiting,11.3953488372093 (1),16
dispersal_unit,seed,16
flower_colour,blue_purple (1); yellow_orange (1),15
plant_growth_substrate,terrestrial (1),15
seedbank_longevity,--2 (V),15
seedbank_location,soil_seedbank (g),15
plant_growth_form,shrub,15
plant_flood_regime_classification,amphibious (1),15
stem_growth_habit,spreading (V),15
vegetative_reproduction_ability,not_vegetative (5),15
plant_tolerance_salt,salinity_tolerance_undefined (3),15
plant_height,0.8 (V),15
plant_height,1 (1),15
plant_height,8 (V),15
plant_height,1.2 (V),15
root_system_type,tap_root_present (2),15
fruit_colour,red (2),15
fruit_colour,red (V),15
reproductive_maturity,2 (1),15
dispersal_syndrome,myrmecochory (1); zoochory (1),15
sex_type,monoecious (V),15
resprouting_capacity_proportion_individuals,1 (3),15
root_structure,mycorrhizal (1),15
root_structure,arbuscular_mycorrhizal (V),15
root_structure,arbuscular_mycorrhizal (1); non_mycorrhizal (1),15
bud_bank_location,basal_stem_buds (2),15
