trait_name,trait_value,Species Count
resprouting_capacity_proportion_individuals,0.222222222222222 (1); 0.481481481481481 (1); 0.575 (1); 0.722222222222222 (1),1
resprouting_capacity_proportion_individuals,0.2 (V),1
resprouting_capacity_proportion_individuals,0.125 (1),1
resprouting_capacity_proportion_individuals,0.00466666667 (1); 0.29 (1); 0.466666667 (1); 0.64 (1); 1 (1),1
resprouting_capacity_proportion_individuals,0 (5),1
resprouting_capacity_proportion_individuals,0 (3),1
root_structure,hemiparasitic_root (1); parasitic_root (1),1
root_structure,ericoid_mycorrhizal (3),1
root_structure,carnivorous (3),1
root_structure,carnivorous (1); non_mycorrhizal (1),1
root_structure,arbuscular_mycorrhizal (6),1
root_structure,arbuscular_mycorrhizal (4); ectomycorrhizal (4),1
root_structure,arbuscular_mycorrhizal (2); ectomycorrhizal (2),1
root_structure,arbuscular_mycorrhizal (1); unknown (1),1
fire_time_from_fire_to_flowering,12 (1); 8.6046511627907 (1),1
fire_time_from_fire_to_flowering,12 (1); 8.13953488372093 (1),1
fire_time_from_fire_to_flowering,12 (1); 7.90697674418605 (1); 9.30232558139535 (1),1
fire_time_from_fire_to_flowering,12 (1); 7.90697674418605 (1),1
fire_time_from_fire_to_flowering,12 (1); 7.44186046511628 (1),1
fire_time_from_fire_to_flowering,12 (1); 7.2093023255814 (1),1
fire_time_from_fire_to_flowering,12 (1); 60 (1),1
fire_time_from_fire_to_flowering,12 (1); 6 (1); 8.37209302325581 (1),1
flowering_time,nnnnnnyyyyyn (1); nnnnnyyyyynn (1),1
flowering_time,nnnnnnyyyynn (5),1
flowering_time,nnnnnnyyyynn (4),1
flowering_time,nnnnnnyyyynn (3),1
flowering_time,nnnnnnyyyynn (2); nyyyyyyyyynn (2),1
flowering_time,nnnnnnyyyynn (1); nnnnnyyyyyyn (1); yyyyyyyyyyyy (1),1
fire_time_from_fire_to_flowering,12 (1); 20.2325581395349 (1); 36 (1); 36.2790697674419 (1),1
fire_time_from_fire_to_flowering,12 (1); 20.2325581395349 (1); 24.1860465116279 (1),1
fire_time_from_fire_to_flowering,12 (1); 20 (1); 24 (1); 24.1860465116279 (1),1
fire_time_from_fire_to_flowering,12 (1); 20 (1); 24 (1),1
fire_time_from_fire_to_flowering,12 (1); 2.55813953488372 (1); 6.51162790697674 (1),1
fire_time_from_fire_to_flowering,12 (1); 2.55813953488372 (1); 4.18604651162791 (1),1
fire_time_from_fire_to_flowering,12 (1); 2.55813953488372 (1); 3.72093023255814 (1),1
fire_time_from_fire_to_flowering,12 (1); 2.4 (1); 3.95348837209302 (1),1
root_structure,non_mycorrhizal (1); proteoid_root (1),1
root_structure,hemiparasitic_root (2),1
root_structure,parasitic_root (1),1
root_structure,orchid_mycorrhizal (4),1
fire_time_from_fire_to_flowering,12 (1); 3.48837209302326 (1); 8.13953488372093 (1),1
fire_time_from_fire_to_flowering,12 (1); 3.48837209302326 (1); 4.65116279069767 (1),1
fire_time_from_fire_to_flowering,12 (1); 3.02325581395349 (1); 6.97674418604651 (1),1
fire_time_from_fire_to_flowering,12 (1); 3.02325581395349 (1),1
fire_time_from_fire_to_flowering,12 (1); 24 (1); 6 (1),1
fire_time_from_fire_to_flowering,12 (1); 21 (1),1
flowering_time,yynnnnnnnnny (V); yynnnnnnnyyy (V); yyynnnnnnyyy (V),1
flowering_time,yynnnnnnnnny (5),1
flowering_time,yynnnnnnnnny (2); yyyynnnnyyyy (2),1
flowering_time,yynnnnnnnnny (1); yyyyyyyyyyyy (1),1
flowering_time,yynnnnnnnnny (1); yyyyyyynyyyy (1),1
flowering_time,yynnnnnnnnny (1); yyyyynnnnnny (1); yyyyyyyyyyyy (1),1
flowering_time,yynnnnnnnnny (1); yyyynnnnnyyy (1); yyyyyyyyyyyy (1),1
flowering_time,nnnnnnyyyyyn (V); ynnnnnnnyyyn (V),1
seed_dormancy_class,physiological_dormancy (V),1
root_system_type,tap_root_sometimes_present (V),1
fire_time_from_fire_to_flowering,12 (1); 2.4 (1),1
fire_time_from_fire_to_flowering,12 (1); 2.32558139534884 (1); 6.27906976744186 (1),1
fire_time_from_fire_to_flowering,12 (1); 2.32558139534884 (1); 3.48837209302326 (1),1
fire_time_from_fire_to_flowering,12 (1); 2.09302325581395 (1); 6.51162790697674 (1),1
fire_time_from_fire_to_flowering,12 (1); 2.09302325581395 (1); 2.7906976744186 (1),1
fire_time_from_fire_to_flowering,12 (1); 14.6511627906977 (1); 9.53488372093023 (1),1
fire_time_from_fire_to_flowering,12 (1); 14.1860465116279 (1); 18 (1); 7.44186046511628 (1),1
fire_time_from_fire_to_flowering,12 (1); 13.0232558139535 (1),1
fire_time_from_fire_to_flowering,12 (1); 12.093023255814 (1); 8.37209302325581 (1),1
fire_time_from_fire_to_flowering,12 (1); 12.093023255814 (1); 8.13953488372093 (1),1
fire_time_from_fire_to_flowering,12 (1); 12.093023255814 (1); 7.44186046511628 (1),1
root_system_type,tap_root_sometimes_present (2),1
root_system_type,tap_root_absent (1); tap_root_present (1),1
root_structure,unknown,1
seed_germination,0.238095238 (1); 0.333333333 (1); 0.571428571 (1),1
seed_germination,0.2 (V),1
seed_germination,0.2 (1); 0.275 (1); 0.3 (1),1
seed_germination,0.18 (1); 0.21 (1),1
seed_germination,0.133333333 (1); 0.333333333 (1); 0.366666667 (1),1
seed_germination,0.133333333 (1); 0.2 (1); 0.333333333 (1); 0.96 (1); 1 (1),1
seed_germination,0.121212121 (1); 0.151515152 (1); 0.272727273 (1),1
seed_germination,0.11 (1); 0.12 (1),1
seed_germination,0.1 (1); 0.18 (1); 0.25 (1),1
seed_germination,0.07 (1); 0.19 (1),1
seed_germination,0.0404 (1); 0.71 (1),1
seed_germination,0.033333333 (V),1
seed_germination,0 (9),1
seed_germination,0 (1); 0.55 (1); 0.9 (1); 1 (1),1
seed_germination,0 (1); 0.25 (1); 0.45 (1),1
seed_germination,0 (1); 0.2 (1),1
seed_germination,0.5 (1); 0.79 (1),1
seed_germination,0.5 (1); 0.75 (1),1
seed_germination,0.5 (1); 0.71 (1); 1 (1),1
seed_germination,0.5 (1); 0.61 (1); 0.8 (1),1
seed_germination,0.5 (1); 0.53 (1); 0.89 (1),1
seed_germination,0.5 (1); 0.52 (1); 0.68 (1); 0.8 (1),1
seed_germination,0.5 (1),1
seed_germination,0.47 (1); 0.484848485 (1); 0.55 (1); 0.696969697 (1); 0.757575758 (1),1
seed_germination,0.466666667 (1); 0.566666667 (1); 0.633333333 (1),1
seed_germination,0.4 (V),1
seed_germination,0.393939394 (1); 0.484848485 (1); 0.606060606 (1),1
seed_germination,0.376 (1); 0.56 (1); 0.8 (1); 0.9 (1),1
seed_germination,0.35 (V),1
seed_germination,0.32 (V),1
seed_germination,0.3 (V),1
seed_germination,0.25 (1); 0.4 (1); 0.5 (1),1
seed_germination,0.56 (1); 0.72 (1); 1 (1),1
seed_germination,0.56 (1); 0.64 (1),1
seed_germination,0.55 (1); 0.74 (1),1
seed_germination,0.55 (1); 0.64 (1); 0.8 (1); 0.9 (1); 1 (1),1
seed_germination,0.55 (1); 0.6 (1); 0.65 (1); 0.7 (1); 0.79 (1); 0.8 (1); 0.95 (1); 1 (1),1
seed_germination,0.55 (1); 0.6 (1),1
seed_germination,0.54 (1); 0.88 (1),1
seed_germination,0.54 (1); 0.58 (1); 0.65 (1); 0.72 (1); 0.88 (1),1
seed_germination,0.533333333 (V); 0.6 (V); 0.85 (V),1
seed_germination,0.533333333 (1); 0.633333333 (1); 0.733333333 (1),1
seed_germination,0.53 (1); 0.71 (1),1
seed_germination,0.53 (1); 0.67 (1); 0.68 (1); 0.75 (1); 0.82 (1); 0.9 (1); 0.95 (1),1
seed_germination,0.53 (1); 0.65 (1); 0.89 (1),1
seed_germination,0.52 (V); 1 (V),1
seed_germination,0.5 (1); 0.8 (1); 0.9 (1); 1 (1),1
seed_germination,0.5 (1); 0.8 (1),1
seed_germination,0.62 (1); 0.8 (1); 0.85 (1),1
seed_germination,0.616 (1); 0.97 (1),1
seed_germination,0.61 (1); 0.7 (1); 0.72 (1),1
seed_germination,0.61 (1); 0.63 (1),1
seed_germination,0.6 (V); 0.95 (V); 1 (V),1
seed_germination,0.6 (V),1
seed_germination,0.6 (1); 0.84 (1); 0.95 (1),1
seed_germination,0.6 (1); 0.65 (1); 0.8 (1); 0.9 (1),1
seed_germination,0.59 (1),1
seed_germination,0.58 (1); 0.66 (1); 0.67 (1); 0.7 (1); 0.76 (1); 0.8 (1); 0.85 (1),1
seed_germination,0.58 (1),1
seed_germination,0.57 (1); 0.86 (1),1
seed_germination,0.57 (1); 0.81 (1); 0.85 (1),1
seed_germination,0.568 (1); 0.74 (1),1
seed_germination,0.56 (1); 0.89 (1),1
seed_germination,0.56 (1); 0.77 (1); 0.8 (1); 0.84 (1),1
seed_germination,0.7 (1); 0.85 (1),1
seed_germination,0.7 (1); 0.8 (1); 0.95 (1),1
seed_germination,0.7 (1); 0.75 (1); 0.9 (1),1
seed_germination,0.68 (1); 0.94 (1),1
seed_germination,0.68 (1); 0.75 (1); 0.84 (1); 1 (1),1
seed_germination,0.67 (1); 0.88 (1),1
seed_germination,0.67 (1); 0.75 (1),1
seed_germination,0.666666667 (V),1
seed_germination,0.65 (V),1
seed_germination,0.65 (1); 0.73 (1); 0.83 (1),1
seed_germination,0.65 (1); 0.7 (1); 0.85 (1),1
seed_germination,0.65 (1); 0.7 (1); 0.75 (1); 0.8 (1),1
seed_germination,0.64 (1); 0.81 (1),1
seed_germination,0.64 (1),1
seed_germination,0.63 (1); 0.85 (1); 1 (1),1
seed_germination,0.625 (1); 0.8125 (1); 0.9375 (1),1
seed_germination,0.75 (1); 0.85 (1),1
seed_germination,0.75 (1); 0.8 (1); 0.81 (1); 0.87 (1); 1 (1),1
seed_germination,0.75 (1); 0.8 (1),1
seed_germination,0.75 (1); 0.76 (1),1
seed_germination,0.75 (1),1
seed_germination,0.74 (1); 0.95 (1),1
seed_germination,0.74 (1); 0.89 (1); 0.95 (1),1
seed_germination,0.74 (1); 0.81 (1); 1 (1),1
seed_germination,0.74 (1); 0.8 (1); 1 (1),1
seed_germination,0.74 (1),1
seed_germination,0.73 (1); 0.94 (1),1
seed_germination,0.72 (V),1
seed_germination,0.72 (1); 0.86 (1); 0.92 (1); 0.94 (1),1
seed_germination,0.71 (1); 0.92 (1); 1 (1),1
seed_germination,0.71 (1); 0.88 (1),1
seed_germination,0.71 (1); 0.85 (1); 0.91 (1),1
seed_germination,0.83 (1),1
seed_germination,0.8 (2),1
seed_germination,0.8 (1); 0.95 (1),1
seed_germination,0.8 (1); 0.94 (1); 0.96 (1),1
seed_germination,0.8 (1); 0.9 (1),1
seed_germination,0.79 (1); 0.92 (1),1
seed_germination,0.79 (1); 0.9 (1),1
seed_germination,0.79 (1),1
seed_germination,0.76 (V),1
seed_germination,0.76 (1); 0.94 (1),1
seed_germination,0.76 (1); 0.89 (1); 0.9 (1); 1 (1),1
seed_germination,0.76 (1); 0.78 (1),1
seed_germination,0.75 (V); 1 (V),1
seed_germination,0.75 (1); 1 (1),1
seed_germination,0.75 (1); 0.92 (1),1
seed_germination,0.75 (1); 0.9 (1); 1 (1),1
flowering_time,yynnnnnnnnny (1); yynnnnnnyyyy (1); yyynnnnnnnyy (1); yyyynnnnnyyy (1),1
flowering_time,yynnnnnnnnny (1); yynnnnnnnyyy (1); yynnnnnnyyyy (1),1
flowering_time,yynnnnnnnnnn (1); yyyyyyynyyyy (1),1
flowering_time,yynnnnnnnnnn (1); yyynnnnnyyyy (1),1
fire_time_from_fire_to_flowering,11.8604651162791 (1); 23.4883720930233 (1); 24 (1); 24.1860465116279 (1); 36 (1); 36.2790697674419 (1),1
fire_time_from_fire_to_flowering,11.8604651162791 (1); 12.093023255814 (1); 24 (1); 24.1860465116279 (1),1
fire_time_from_fire_to_flowering,11.8604651162791 (1); 12 (1); 12.093023255814 (1),1
fire_time_from_fire_to_flowering,11.6279069767442 (1); 8.83720930232558 (1),1
fire_time_from_fire_to_flowering,11.6279069767442 (1); 14.6511627906977 (1),1
fire_time_from_fire_to_flowering,11.6279069767442 (1); 12 (1); 24.1860465116279 (1); 48 (1),1
fire_time_from_fire_to_flowering,11.6279069767442 (1); 12 (1); 24.1860465116279 (1); 36 (1); 36.2790697674419 (1),1
fire_time_from_fire_to_flowering,11.6279069767442 (1); 12 (1); 2.32558139534884 (1),1
seed_germination,0.85 (1); 1 (1),1
seed_germination,0.85 (1); 0.94 (1); 1 (1),1
seed_germination,0.85 (1); 0.89 (1),1
seed_germination,0.85 (1),1
seed_germination,0.86 (1),1
fire_time_from_fire_to_flowering,12 (1); 12.093023255814 (1); 6 (1); 8.6046511627907 (1),1
fire_time_from_fire_to_flowering,12 (1); 12.093023255814 (1); 30 (1); 8.6046511627907 (1),1
fire_time_from_fire_to_flowering,12 (1); 12.093023255814 (1); 24 (1); 6 (1); 7.2093023255814 (1),1
fire_time_from_fire_to_flowering,11.8604651162791 (1); 24 (1); 24.1860465116279 (1); 8.13953488372093 (1),1
flowering_time,nnnnnnyyynnn (1); nnnynyyyyyyn (1),1
flowering_time,nnnnnnyyynnn (1); nnnnyyyyynnn (1); nnyyyyyyynnn (1),1
flowering_time,nnnnnnyyynnn (1); nnnnnyyyynnn (1); nnnnyyyyyynn (1),1
flowering_time,yynnnnnnnnny (1); yyyynnnnnnnn (1),1
flowering_time,yynnnnnnnnny (1); yyynnnnnyyyy (1),1
flowering_time,yynnnnnnnnny (1); yyynnnnnnnyy (1),1
flowering_time,yynnnnnnnnny (1); yyynnnnnnnny (1); yyyyyyyyyyyy (1),1
flowering_time,yynnnnnnnnny (1); yyynnnnnnnny (1),1
flowering_time,yynnnnnnnnny (1); yyynnnnnnnnn (1); yyyynnnnnnnn (1),1
flowering_time,yynnnnnnnnny (1); yyynnnnnnnnn (1),1
flowering_time,yynnnnnnnnny (1); yynnnnnnyyyy (1); yyynnnnnnyyy (1),1
seed_germination,0.95 (1); 1 (1),1
seed_germination,0.94 (V),1
seed_germination,0.94 (1),1
seed_germination,0.93 (1); 1 (1),1
seed_germination,0.93 (1); 0.94 (1),1
seed_germination,0.92 (1); 0.98 (1),1
seed_germination,0.9 (V); 1 (V),1
seed_germination,0.9 (1); 0.94 (1); 0.95 (1),1
seed_germination,0.89 (1); 0.95 (1),1
seed_germination,0.88 (V),1
seed_germination,0.88 (1); 0.96 (1),1
seed_germination,0.88 (1); 0.9 (1); 0.94 (1); 1 (1),1
seed_germination,0.87 (1),1
seed_germination,0.86 (1); 0.96 (1),1
seed_germination,0.86 (1); 0.9 (1); 0.93 (1); 0.95 (1); 0.96 (1); 1 (1),1
seed_germination,0.86 (1); 0.87 (1),1
fire_time_from_fire_to_flowering,10.6976744186047 (1); 9.53488372093023 (1),1
fire_time_from_fire_to_flowering,10.6976744186047 (1); 4.65116279069767 (1),1
fire_time_from_fire_to_flowering,10.6976744186047 (1); 12 (1); 14.6511627906977 (1); 60 (1),1
fire_time_from_fire_to_flowering,10.6976744186047 (1); 12 (1); 13.0232558139535 (1),1
fire_time_from_fire_to_flowering,10.6976744186047 (1); 12 (1); 12.093023255814 (1),1
fire_time_from_fire_to_flowering,10.6976744186047 (1); 12 (1),1
fire_time_from_fire_to_flowering,10.6976744186047 (1),1
seed_germination_time,11 (1); 14 (1); 22 (1),1
seed_germination_time,11 (1); 13 (1); 8 (1),1
seed_germination_time,11 (1); 12 (1); 9 (1),1
seed_germination_time,11 (1); 119 (1); 22 (1); 34 (1),1
seed_germination_time,103 (1); 54 (1); 73 (1),1
seed_germination_time,1 (1); 27 (1); 8 (1),1
seed_germination,0.98 (V),1
seed_germination,0.96 (V),1
seed_germination,0.95 (V); 1 (V),1
seed_germination_time,12 (1); 56 (1); 6 (1); 9 (1),1
seed_germination_time,12 (1); 43 (1); 64 (1),1
seed_germination_time,12 (1); 35 (1); 48 (1),1
seed_germination_time,12 (1); 30 (1); 62 (1),1
seed_germination_time,12 (1); 175 (1); 21 (1); 28 (1),1
seed_germination_time,112 (1),1
seed_germination_time,11 (1); 4 (1); 9 (1),1
seed_germination_time,11 (1); 15 (1); 29 (1),1
seed_germination_time,11 (1); 15 (1); 19 (1),1
seed_germination_time,11 (1); 147 (1); 18 (1); 6 (1),1
fire_time_from_fire_to_flowering,11.6279069767442 (1); 12 (1); 14.1860465116279 (1); 15.5813953488372 (1),1
fire_time_from_fire_to_flowering,11.3953488372093 (1); 6 (1),1
fire_time_from_fire_to_flowering,11.3953488372093 (1); 30 (1),1
fire_time_from_fire_to_flowering,11.3953488372093 (1); 13.0232558139535 (1); 15 (1),1
fire_time_from_fire_to_flowering,11.3953488372093 (1); 12 (1); 12.093023255814 (1); 24.1860465116279 (1),1
fire_time_from_fire_to_flowering,11.3953488372093 (1); 12 (1),1
seed_germination_time,15 (1); 35 (1); 6 (1),1
seed_germination_time,15 (1); 30 (1); 48 (1),1
seed_germination_time,15 (1); 22 (1); 35 (1),1
seed_germination_time,15 (1); 19 (1); 22 (1); 49 (1),1
seed_germination_time,140 (1); 21 (1); 26 (1); 39 (1),1
seed_germination_time,14 (1); 50 (1); 6 (1),1
seed_germination_time,14 (1); 25 (1); 39 (1),1
seed_germination_time,14 (1); 20 (1); 25 (1),1
seed_germination_time,14 (1); 16 (1); 18 (1),1
seed_germination_time,13 (1); 36 (1); 47 (1),1
seed_germination_time,13 (1); 24 (1); 51 (1),1
seed_germination_time,13 (1); 20 (1); 6 (1),1
seed_germination_time,13 (1); 19 (1); 33 (1),1
seed_germination_time,13 (1); 17 (1); 9 (1),1
seed_germination_time,13 (1); 14 (1); 17 (1); 25 (1); 6 (1); 8 (1),1
seed_germination_time,126 (1),1
seed_germination_time,20 (3),1
seed_germination_time,20 (1); 30 (1); 7 (1),1
seed_germination_time,2 (1); 30 (1); 72 (1),1
seed_germination_time,189 (1),1
seed_germination_time,188 (1); 38 (1); 79 (1),1
seed_germination_time,18 (1); 5 (1); 8 (1),1
seed_germination_time,18 (1); 31 (1); 50 (1),1
seed_germination_time,18 (1); 25 (1); 40 (1),1
seed_germination_time,18 (1); 24 (1); 6 (1),1
seed_germination_time,17 (1); 42 (1),1
seed_germination_time,17 (1); 26 (1); 36 (1),1
seed_germination_time,17 (1); 196 (1); 27 (1); 37 (1),1
seed_germination_time,16 (V),1
seed_germination_time,16 (1); 38 (1); 7 (1),1
seed_germination_time,16 (1); 28 (1); 8 (1),1
seed_germination_time,152 (1); 40 (1); 74 (1),1
seed_germination_time,32 (3),1
seed_germination_time,3 (3),1
seed_germination_time,294 (1),1
seed_germination_time,29 (1),1
seed_germination_time,287 (1),1
seed_germination_time,28 (1); 40 (1); 497 (1); 73 (1),1
seed_germination_time,28 (1); 37 (1); 47 (1),1
seed_germination_time,26 (1); 44 (1); 60 (1),1
seed_germination_time,26 (1),1
seed_germination_time,25 (1); 46 (1); 90 (1),1
seed_germination_time,231 (1),1
seed_germination_time,23 (1); 37 (1); 8 (1),1
seed_germination_time,23 (1),1
seed_germination_time,217 (1),1
seed_germination_time,21 (1); 44 (1); 59 (1),1
seed_germination_time,21 (1); 3 (1); 8 (1),1
flowering_time,ynnnyyyyyyyy (1); yynnnnnnnnny (1),1
flowering_time,ynnnynynyyyy (1),1
flowering_time,ynnnnyyyyyyy (1),1
flowering_time,ynnnnnyyyyyy (1); yyyyyyynnnnn (1),1
flowering_time,ynnnnnyyyyyy (1),1
flowering_time,ynnnnnnyyyyy (V); yynnnnnnyyyy (V),1
fire_time_from_fire_to_flowering,10 (1); 3.6 (1),1
fire_time_from_fire_to_flowering,10 (1); 2.32558139534884 (1),1
fire_time_from_fire_to_flowering,10 (1); 14.6511627906977 (1); 15 (1),1
fire_time_from_fire_to_flowering,10 (1); 12.093023255814 (1); 6 (1),1
fire_time_from_fire_to_flowering,10 (1); 12.093023255814 (1),1
fire_time_from_fire_to_flowering,10 (1); 12 (1); 6 (1); 6.51162790697674 (1),1
fire_time_from_fire_to_flowering,10 (1); 12 (1); 5.34883720930233 (1),1
seed_germination_time,350 (1),1
seed_germination_time,35 (1); 36 (1); 42 (1),1
seed_germination_time,34 (1); 39 (1); 51 (1),1
fire_time_from_fire_to_flowering,10.4651162790698 (1); 3.6 (1),1
fire_time_from_fire_to_flowering,10.2325581395349 (1); 8.83720930232558 (1),1
fire_time_from_fire_to_flowering,10.2325581395349 (1); 12.093023255814 (1),1
fire_time_from_fire_to_flowering,10.2325581395349 (1); 12 (1); 8.83720930232558 (1),1
fire_time_from_fire_to_flowering,10.2325581395349 (1),1
fire_time_from_fire_to_flowering,10 (1); 9.6 (1),1
fire_time_from_fire_to_flowering,10 (1); 9.53488372093023 (1),1
fire_time_from_fire_to_flowering,10 (1); 6 (1),1
flowering_time,yynnnnnnnnnn (1); yynnnnnnnnny (1); yyyynnnnyyyy (1),1
flowering_time,yynnnnnnnnnn (1),1
flowering_time,ynnyyyyyyyyy (1),1
flowering_time,ynnyynnyyyyn (1),1
flowering_time,ynnnyyyyyyyy (V); ynynyyyyyyyy (V),1
flowering_time,ynnnyyyyyyyy (V),1
flowering_time,ynnnyyyyyyyy (1); yynnnnnnyyyy (1),1
flowering_time,ynnnyyyyyyyy (1); yynnnnnnnnny (1); yyyyyyyyyyyy (1),1
seed_germination_time,854 (1),1
seed_germination_time,82 (1),1
seed_germination_time,8 (3),1
seed_germination_time,707 (1),1
seed_germination_time,7 (V),1
seed_germination_time,679 (1),1
seed_germination_time,61 (1),1
seed_germination_time,57 (1),1
seed_germination_time,53 (3),1
seed_germination_time,504 (1),1
seed_germination_time,50 (1); 64 (1); 74 (1),1
seed_germination_time,448 (1),1
seed_germination_time,44 (1),1
seed_germination_time,40 (1),1
seed_germination_time,392 (1),1
seed_germination_time,39 (1); 44 (1); 49 (1),1
flowering_time,nnnnnyyyynnn (4),1
flowering_time,nnnnnyyyynnn (1); yynnnyyyyyyy (1),1
flowering_time,nnnnnyyyynnn (1),1
flowering_time,nnnnnyyynnnn (V),1
fire_time_from_fire_to_flowering,1.62790697674419 (1); 12 (1); 4.65116279069767 (1),1
fire_time_from_fire_to_flowering,1.3953488372093 (1); 2.55813953488372 (1); 3.6 (1),1
fire_time_from_fire_to_flowering,1.3953488372093 (1); 12 (1); 6.04651162790698 (1),1
seed_germination_treatment,cold (1); none (1),1
seed_germination_treatment,after_ripening (1); heat_lethal (1),1
seed_germination_treatment,after_ripening (1); heat+smoke (1),1
seed_germination_treatment,after_ripening (1),1
seed_germination_time,980 (1),1
seed_germination_time,945 (1),1
seed_germination_time,917 (1),1
seed_germination_time,9 (3),1
seed_germination_time,882 (1),1
fire_time_from_fire_to_flowering,10 (1); 12 (1); 12.093023255814 (1),1
fire_time_from_fire_to_flowering,10 (1); 10.2325581395349 (1); 8.83720930232558 (1),1
fire_time_from_fire_to_flowering,10 (1); 10.2325581395349 (1),1
fire_time_from_fire_to_flowering,1.86046511627907 (1); 3.6 (1); 5.11627906976744 (1),1
fire_time_from_fire_to_flowering,1.86046511627907 (1); 3.6 (1),1
fire_time_from_fire_to_flowering,1.86046511627907 (1); 3.48837209302326 (1),1
fire_time_from_fire_to_flowering,1.86046511627907 (1); 12 (1); 18 (1); 24 (1); 3.48837209302326 (1),1
flowering_time,ynnnnnnnyyyy (1); ynnnnnnyyyyy (1),1
flowering_time,ynnnnnnnnyyy (2),1
flowering_time,ynnnnnnnnyyy (1); yynnnnnnnnyy (1); yynnnnnnyyyy (1); yyynnnnnnnny (1),1
flowering_time,ynnnnnnnnyyy (1); yynnnnnnnnny (1),1
flowering_time,ynnnnnnnnnyy (4),1
flowering_time,ynnnnnnnnnyy (3),1
flowering_time,ynnnnnnnnnyy (1); ynnnnyyynnyy (1); yyyyyyyyyyyy (1),1
flowering_time,ynnnnnnnnnyy (1); ynnnnynnnnyy (1),1
flowering_time,nnnnnyyyynnn (V),1
seed_viability,0.24 (1),1
seed_viability,0.15 (1); 0.32 (1),1
seed_viability,0.11 (1); 0.12 (1),1
seed_viability,0.05 (1),1
seed_viability,0.0404 (1); 0.71 (1),1
seed_viability,0 (1); 0.2 (1),1
seed_germination_treatment,stratification (2),1
seed_germination_treatment,smoke (V),1
seed_germination_treatment,smoke (2),1
seed_germination_treatment,none (2),1
seed_germination_treatment,light (1); stratification (1),1
seed_germination_treatment,leaching (1),1
seed_germination_treatment,imbibe_hot (3),1
seed_germination_treatment,heat+smoke (1); scarify (1),1
seed_germination_treatment,heat (3),1
fire_time_from_fire_to_flowering,10 (1); 12 (1); 3.72093023255814 (1); 6 (1),1
fire_time_from_fire_to_50_percent_flowering,11.3953488372093 (1),1
fire_time_from_fire_to_50_percent_flowering,10.6976744186047 (1),1
seedbank_location,canopy_seedbank (1); soil_seedbank (1),1
seed_viability,0.94 (1),1
seed_viability,0.90 (1),1
seed_viability,0.89 (1),1
seed_viability,0.88 (1),1
seed_viability,0.86 (1); 0.87 (1),1
seed_viability,0.85 (1),1
seed_viability,0.833 (1); 1 (1),1
seed_viability,0.83 (1); 0.889 (1),1
seed_viability,0.76 (1),1
seed_viability,0.73 (1),1
seed_viability,0.568 (1); 0.74 (1),1
seed_viability,0.56 (1); 0.88 (1),1
seed_viability,0.56 (1); 0.76 (1),1
seedbank_location,none (2); soil_seedbank (2),1
seedbank_location,none (1); soil_seedbank (1); soil_seedbank_absent (1),1
seedbank_location,canopy_seedbank_absent (1); soil_seedbank_absent (1),1
seedbank_location,canopy_seedbank_absent (1); soil_seedbank (1); soil_seedbank_absent (1),1
fire_time_from_fire_to_flowering,1.2 (1); 3.95348837209302 (1),1
fire_time_from_fire_to_flowering,0--24 (1); 24 (1); 30 (1),1
fire_time_from_fire_to_flowering,0--24 (1); 22 (1),1
fire_time_from_fire_to_flowering,0--24 (1); 10.6976744186047 (1); 12 (1); 18 (1); 24 (1); 8.37209302325581 (1),1
fire_time_from_fire_to_flowering,--120 (1),1
fire_time_from_fire_to_50_percent_flowering,9.76744186046512 (1),1
fire_time_from_fire_to_50_percent_flowering,48 (1),1
fire_time_from_fire_to_50_percent_flowering,36.2790697674419 (1),1
fire_time_from_fire_to_50_percent_flowering,21.8604651162791 (1),1
fire_time_from_fire_to_50_percent_flowering,20.6976744186047 (1),1
fire_time_from_fire_to_50_percent_flowering,20.2325581395349 (1),1
fire_time_from_fire_to_50_percent_flowering,19.7674418604651 (1),1
dispersers,water (3),1
dispersers,water (1); wind (1),1
dispersers,vertebrates (3),1
seedbank_longevity,--2 (1); 1--5 (1),1
seedbank_location,soil_seedbank (6),1
establishment_light_environment_index,partial shade,1
establishment_light_environment_index,3.4 (1),1
establishment_light_environment_index,2.85 (1),1
establishment_light_environment_index,2.8 (1),1
establishment_light_environment_index,2.76 (1),1
establishment_light_environment_index,2.46 (1),1
establishment_light_environment_index,2.37 (1); full sun,1
establishment_light_environment_index,2.2 (1),1
establishment_light_environment_index,2.18 (1),1
establishment_light_environment_index,2.05 (1),1
establishment_light_environment_index,1.6 (1),1
flowering_time,nnnnnnyyyyyy (2),1
flowering_time,ynnnnnnnnnyy (1); ynnnnnnnyyyy (1); yynnnnnnnnny (1),1
flowering_time,ynnnnnnnnnyy (1); ynnnnnnnyyyy (1),1
flowering_time,ynnnnnnnnnny (1); yynnnnnnyyyy (1); yyyyyyyyyyyy (1),1
flowering_time,ynnnnnnnnnny (1); yynnnnnnyyyy (1),1
flowering_time,ynnnnnnnnnny (1); yynnnnnnnyyy (1); yyyyynnnyyyy (1),1
flowering_time,ynnnnnnnnnny (1); yynnnnnnnnyy (1); yyyyyyyyyyyn (1),1
seedbank_longevity,--2 (7),1
seedbank_longevity,--2 (5),1
seedbank_longevity,--2 (2); 10-- (2),1
seedbank_longevity,--2 (1); 7 (1),1
seedbank_longevity,--2 (1); 3.3 (1),1
