scientific_name,common_name,reserve_name,decimal_latitude,decimal_longitude,date_of_observation,plant_growth_form
Banksia aemula,,Not in a reserve,-33.971306,151.033611,30/3/2018 0:00,shrub (5); tree (5)
Banksia aemula,,Not in a reserve,-33.971306,151.033611,30/3/2018 0:00,shrub (5); tree (5)
Banksia juncea,Slender Banksia,Virginius Reserve,-33.960678,151.022552,1/5/2004 12:00,
Banksia robur,Swamp Broad-leaved Banksia,Not in a reserve,-33.9453,151.047582,29/8/2021 12:58,shrub (6)
Banksia robur,Swamp Broad-leaved Banksia,Not in a reserve,-33.914705,151.120725,17/11/2024 11:35,shrub (6)
Basella alba,Indian Spinach,Not in a reserve,-33.95,151,17/5/2011 0:00,climber (1); climber_herbaceous (2); herb (1)
Begonia cucullata,,Not in a reserve,-33.915924,151.097203,17/4/2020 13:59,herb (1)
Begonia cucullata,,Not in a reserve,-33.926797,151.068314,21/11/2024 17:55,herb (1)
Billardiera mutabilis,Common Apple-berry,Not in a reserve,-33.916667,151.05,13/9/2007 0:00,climber (2); climber_woody (2); shrub (3)
Billardiera mutabilis,Common Apple-berry,Not in a reserve,-33.8896,151.033427,10/7/2024 13:54,climber (2); climber_woody (2); shrub (3)
Blechnum ambiguum,,Little Salt Pan Creek Reserve,-33.96882,151.029014,1/5/2004 12:00,
Blechnum camfieldii,,Salt Pan Reserve,-33.946515,151.039711,1/5/2004 12:00,
Blechnum cartilagineum,,Little Salt Pan Creek Reserve,-33.96882,151.029014,1/5/2004 12:00,
Boronia anemonifolia,,Not in a reserve,-33.9,151.116667,,shrub (6)
Boronia barkeriana,,Not in a reserve,-33.91509,151.084491,1886-10-01 00:00:00,shrub (3)
Boronia ledifolia,,Not in a reserve,-33.970898,151.026255,21/4/1999 0:00,shrub (12)
Boronia polygalifolia,,Smith Park,-33.958369,150.990262,1/5/2004 12:00,
Boronia polygalifolia,,Salt Pan Reserve,-33.946515,151.039711,1/5/2004 12:00,
Bossiaea buxifolia,,Lansdowne,-33.900035,150.980159,7/3/2008 0:00,"shrub, shrub (5)"
Bossiaea ensata,,Not in a reserve,-33.91509,151.084491,1893-09-01 00:00:00,shrub (10)
