reserve_id,asset_name,location,suburb,asset_type,asset_sub_type,asset_class,shape_file_name,shape_file_path
127,Michigan Road Reserve,"4 Michigan Road, Riverwood",Riverwood,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
128,Windermere Reserve,"23 Windermere Crescent, Panania",Panania,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
129,Cooks River 6,"1 Frederick Street, Campsie",Campsie,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
130,Richardson Reserve,"22 Richardson Avenue, Padstow",Padstow,Bushland,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
131,Johnsen Square,"89F King Gerges Road, Wiley Park",Wiley Park,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
132,Railway Parade - Small Park,"Railway Parade, Belmore",Belmore,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
133,Prince Reserve,"62 Prince Street, Picnic Point",Picnic Point,Bushland,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
134,Caroline Reserve,"14A Caroline Crescent, Georges Hall",Georges Hall,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
135,Prairie Vale Reserve,"28 Prairie Vale Road, Bankstown",Bankstown,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
136,Thompson Reserve,"2A Proyart Avenue, Milperra",Milperra,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
137,Neptune Park,"10 Edinburgh Drive, Revesby",Revesby,Active,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
138,Paul Calderon Reserve,"11 Flood Avenue, Revesby",Revesby,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
139,Wirega Avenue Landscaped Strip,"26 Maramba Close, Kingsgrove",Kingsgrove,Passive,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
140,Neville Reserve,"60 Clarke Street, Bass Hill",Bass Hill,Active,Park/Reserve,Parks,Parks Gardens MD_region.shp,Shapefiles\Parks Gardens MD_region.shp
