occurrence_id,scientific_name,decimal_latitude,decimal_longitude,reserve_id,pct_id,missing_reserve,missing_pct
332,Alternanthera pungens,-33.908598,150.974971,535.0,1.0,False,False
333,Themeda triandra,-33.909506,150.979817,530.0,9.0,False,False
334,Dichondra repens,-33.909909,150.979481,530.0,9.0,False,False
335,Senecio madagascariensis,-33.909506,150.979817,530.0,9.0,False,False
336,Casuarina glauca,-33.908598,150.974971,535.0,1.0,False,False
337,Einadia polygonoides,-33.908598,150.974971,535.0,1.0,False,False
338,Bidens pilosa,-33.909506,150.979817,530.0,9.0,False,False
339,Goodenia radicans,-33.908598,150.974971,535.0,1.0,False,False
340,Megathyrsus maximus,-33.909909,150.979481,530.0,9.0,False,False
341,Rytidosperma racemosum var. racemosum,-33.909506,150.979817,530.0,9.0,False,False
342,Eragrostis leptostachya,-33.909506,150.979817,530.0,9.0,False,False
343,Dianella longifolia var. longifolia,-33.909909,150.979481,530.0,9.0,False,False
344,Bromus catharticus,-33.908598,150.974971,535.0,1.0,False,False
345,Poa labillardierei var. labillardierei,-33.909506,150.979817,530.0,9.0,False,False
346,Chloris ventricosa,-33.909506,150.979817,530.0,9.0,False,False
347,Oxalis exilis,-33.909506,150.979817,530.0,9.0,False,False
348,Cheilanthes sieberi subsp. sieberi,-33.909506,150.979817,530.0,9.0,False,False
349,Glycine tabacina,-33.909909,150.979481,530.0,9.0,False,False
350,Epilobium hirtigerum,-33.908598,150.974971,535.0,1.0,False,False
351,Zoysia macrantha,-33.908598,150.974971,535.0,1.0,False,False
352,Triglochin striata,-33.908598,150.974971,535.0,1.0,False,False
353,Microlaena stipoides var. stipoides,-33.909909,150.979481,530.0,9.0,False,False
354,Cynodon dactylon,-33.908598,150.974971,535.0,1.0,False,False
355,Senecio madagascariensis,-33.908598,150.974971,535.0,1.0,False,False
356,Apium prostratum,-33.908598,150.974971,535.0,1.0,False,False
357,Sida rhombifolia,-33.909909,150.979481,530.0,9.0,False,False
358,Acacia decurrens,-33.909506,150.979817,530.0,9.0,False,False
359,Ehrharta erecta,-33.908598,150.974971,535.0,1.0,False,False
360,Sonchus oleraceus,-33.909506,150.979817,530.0,9.0,False,False
361,Lepidium bonariense,-33.908598,150.974971,535.0,1.0,False,False
362,Sida rhombifolia,-33.908598,150.974971,535.0,1.0,False,False
363,Melia azedarach,-33.908598,150.974971,535.0,1.0,False,False
364,Hypochaeris radicata,-33.909506,150.979817,530.0,9.0,False,False
365,Anredera cordifolia,-33.908598,150.974971,535.0,1.0,False,False
366,Eucalyptus tereticornis,-33.909506,150.979817,530.0,9.0,False,False
367,Solanum nigrum,-33.908598,150.974971,535.0,1.0,False,False
368,Themeda triandra,-33.909506,150.979817,530.0,9.0,False,False
369,Eucalyptus moluccana,-33.909506,150.979817,530.0,9.0,False,False
370,Taraxacum,-33.909909,150.979481,530.0,9.0,False,False
371,Dichelachne parva,-33.909506,150.979817,530.0,9.0,False,False
372,Dianella longifolia var. longifolia,-33.909506,150.979817,530.0,9.0,False,False
373,Solanum pseudocapsicum,-33.908598,150.974971,535.0,1.0,False,False
374,Anthosachne scabra,-33.91,150.98,530.0,9.0,False,False
375,Asparagus aethiopicus,-33.908598,150.974971,535.0,1.0,False,False
376,Oxalis perennans,-33.909909,150.979481,530.0,9.0,False,False
377,Lomandra multiflora subsp. multiflora,-33.909909,150.979481,530.0,9.0,False,False
378,Polycarpon tetraphyllum,-33.908598,150.974971,535.0,1.0,False,False
379,Asparagus aethiopicus,-33.909506,150.979817,530.0,9.0,False,False
380,Eragrostis curvula,-33.909909,150.979481,530.0,9.0,False,False
381,Pavonia hastata,-33.909506,150.979817,530.0,9.0,False,False
382,Pavonia hastata,-33.909909,150.979481,530.0,9.0,False,False
383,Modiola caroliniana,-33.908406,150.980748,530.0,1.0,False,False
384,Einadia hastata,-33.908598,150.974971,535.0,1.0,False,False
385,Asparagus aethiopicus,-33.909909,150.979481,530.0,9.0,False,False
386,Brachychiton populneus,-33.90917,150.98064,530.0,9.0,False,False
387,Echinopogon ovatus,-33.908598,150.974971,535.0,1.0,False,False
388,Gamochaeta purpurea,-33.908598,150.974971,535.0,1.0,False,False
389,Eragrostis curvula,-33.908406,150.980748,530.0,1.0,False,False
390,Eucalyptus moluccana,-33.909506,150.979817,530.0,9.0,False,False
391,Cynodon dactylon,-33.908406,150.980748,530.0,1.0,False,False
392,Brachychiton populneus,-33.90917,150.98064,530.0,9.0,False,False
393,Cynodon dactylon,-33.909909,150.979481,530.0,9.0,False,False
394,Aristida ramosa,-33.90917,150.98064,530.0,9.0,False,False
395,Vittadinia cuneata var. cuneata,-33.909909,150.979481,530.0,9.0,False,False
396,Pavonia hastata,-33.909506,150.979817,530.0,9.0,False,False
397,Phragmites australis,-33.908598,150.974971,535.0,1.0,False,False
