Species Name,Family,Genus,Local Status,Fire Traits
Acianthus fornicatus,Orchidaceae,Acianthus,native,"{'post_fire_recruitment': 'post_fire_recruitment_absent (f)', 'post_fire_flowering': 'fire_enhanced_flowering (f)', 'resprouting_capacity': 'resprouts (4)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (2)', 'resprouting_capacity_juvenile': 'juvenile_resprout (f)', 'fire_time_from_fire_to_fruiting': '7.67441860465116 (1)', 'fire_time_from_fire_to_flowering': '5.34883720930233 (1); 9 (1)'}"
Acianthus pusillus,Orchidaceae,Acianthus,native,"{'post_fire_recruitment': 'post_fire_recruitment_absent (1)', 'post_fire_flowering': 'fire_enhanced_flowering (1)', 'resprouting_capacity': 'resprouts (4)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (1)', 'resprouting_capacity_juvenile': 'juvenile_resprout (1)', 'fire_time_from_fire_to_fruiting': '6.04651162790698 (1)', 'fire_time_from_fire_to_flowering': '12 (1); 3.72093023255814 (1)'}"
Actinotus helianthi,Apiaceae,Actinotus,native,"{'resprouting_capacity': 'fire_killed (4)', 'fire_time_from_fire_to_fruiting': '13.0232558139535 (1)', 'fire_time_from_fire_to_flowering': '13.0232558139535 (1); 9.53488372093023 (1)', 'fire_time_from_fire_to_peak_flowering': '24 (1); 36 (1)'}"
Actinotus minor,Apiaceae,Actinotus,native,"{'resprouting_capacity': 'fire_killed (V)', 'fire_time_from_fire_to_flowering': '12 (1); 9.76744186046512 (1)'}"
Adansonia gregorii,Malvaceae,Adansonia,native,"{'post_fire_recruitment': 'post_fire_recruitment (2)', 'resprouting_capacity': 'resprouts (5)', 'fire_time_from_fire_to_flowering': '--120 (1)'}"
Adenanthos sericeus,Proteaceae,Adenanthos,native,"{'post_fire_recruitment': 'post_fire_recruitment (f)', 'resprouting_capacity': 'resprouts (f)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)'}"
Aegiceras corniculatum,Primulaceae,Aegiceras,native,{'resprouting_capacity': 'resprouts (V)'}
Agave americana,Asparagaceae,Agave,Exotic,"{'resprouting_capacity': 'resprouts (2)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_resprout (1)', 'fire_time_from_fire_to_flowering': '4.41860465116279 (1)'}"
Agave attenuata,Asparagaceae,Agave,exotic,"{'resprouting_capacity': 'resprouts (f)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)'}"
Ageratina adenophora,Asteraceae,Ageratina,Exotic,"{'post_fire_recruitment': 'post_fire_recruitment (f)', 'resprouting_capacity': 'resprouts (3)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (f)', 'fire_time_from_fire_to_fruiting': '10.2325581395349 (1)', 'fire_time_from_fire_to_flowering': '10.2325581395349 (1); 12 (1); 8.83720930232558 (1)'}"
Ageratina riparia,Asteraceae,Ageratina,Exotic,"{'post_fire_recruitment': 'post_fire_recruitment (f)', 'resprouting_capacity': 'resprouts (2)', 'resprouting_capacity_non_fire_disturbance': 'resprouts_non_fire_disturbance (f)', 'resprouting_capacity_juvenile': 'juvenile_fire_killed (f)', 'fire_time_from_fire_to_fruiting': '8.83720930232558 (1)', 'fire_time_from_fire_to_flowering': '12 (1); 7.90697674418605 (1); 9.30232558139535 (1)'}"
Ageratum houstonianum,,,Exotic,"{'resprouting_capacity': 'fire_killed (1)', 'fire_time_from_fire_to_flowering': '8.83720930232558 (1)'}"
